Wort:,PoS:,Satzende:
Begin New File
"

",SPACE
09-Aug-2003,PROPN,Satzende
--,PUNCT
On,ADP
Saturday,PROPN
",",PUNCT
9th,ADJ
August,PROPN
2003,NUM
",",PUNCT
Daniel,PROPN
and,CCONJ
I,PRON
start,VERB
with,ADP
our,DET
Enduros,PROPN
approx,NOUN
.,PUNCT,Satzende
100,NUM
kilometers,NOUN
from,ADP
the,DET
confluence,NOUN
point,NOUN
.,PUNCT,Satzende
In,ADP
the,DET
preceding,VERB
years,NOUN
I,PRON
travelled,VERB
some,DET
thousand,NUM
offroad,NOUN
kilometers,NOUN
in,ADP
Romania,PROPN
and,CCONJ
therefore,ADV
we,PRON
take,VERB
the,DET
most,ADV
beautiful,ADJ
Enduro,PROPN
paths,NOUN
to,ADP
the,DET
confluence,NOUN
point,NOUN
",",PUNCT
naturally,ADV
there,PRON
is,AUX
also,ADV
something,PRON
new,ADJ
to,PART
discover,VERB
.,PUNCT
"

",SPACE,Satzende
The,DET
last,ADJ
kilometers,NOUN
before,ADP
we,PRON
take,VERB
the,DET
forest,NOUN
road,NOUN
",",PUNCT
which,DET
leads,VERB
approximately,ADV
toward,ADP
the,DET
confluence,NOUN
point,NOUN
",",PUNCT
we,PRON
are,AUX
driving,VERB
on,ADP
the,DET
street,NOUN
",",PUNCT
because,SCONJ
it,PRON
goes,VERB
steeply,ADV
uphill,ADV
from,ADP
the,DET
valley,NOUN
and,CCONJ
is,AUX
is,AUX
rather,ADV
hard,ADJ
to,PART
drive,VERB
in,ADP
the,DET
forest,NOUN
.,PUNCT,Satzende
I,PRON
drove,VERB
through,ADP
this,DET
road,NOUN
section,NOUN
already,ADV
several,ADJ
times,NOUN
",",PUNCT
conscious,ADJ
that,SCONJ
it,PRON
is,AUX
very,ADV
near,ADJ
to,ADP
the,DET
confluence,NOUN
point,NOUN,Satzende
N,NUM
45,NUM,Satzende
°,NOUN
E,NOUN
22,NUM
°,NOUN
(,PUNCT
for,ADP
the,DET
first,ADJ
time,NOUN
in,ADP
August,PROPN
1999,NUM
),PUNCT
",",PUNCT
however,ADV
without,ADP
knowing,VERB
of,ADP
the,DET
"""",PUNCT
Degree,PROPN
Confluence,PROPN
Project,PROPN
"""",PUNCT
-,PUNCT
my,DET
friend,NOUN
Ulrich,PROPN
Leardi,PROPN
told,VERB
me,PRON
of,ADP
it,PRON
.,PUNCT
"

",SPACE,Satzende
We,PRON
bend,VERB
off,ADP
on,ADP
the,DET
forest,NOUN
road,NOUN
",",PUNCT
which,DET
is,AUX
partly,ADV
freshly,ADV
graded,VERB
.,PUNCT,Satzende
In,ADP
the,DET
top,NOUN
there,PRON
are,AUX
even,ADV
completely,ADV
new,ADJ
branches,NOUN
toward,ADP
to,ADP
the,DET
confluence,NOUN
point,NOUN
because,SCONJ
of,ADP
the,DET
present,ADJ
timber,NOUN
work,NOUN
!,PUNCT,Satzende
We,PRON
try,VERB
to,PART
drive,VERB
near,ADV
on,ADP
the,DET
wood,NOUN
-,PUNCT
cutting,VERB
tracks,NOUN
as,ADV
close,ADV
as,SCONJ
possible,ADJ
",",PUNCT
and,CCONJ
after,ADP
approx,NOUN
.,PUNCT,Satzende
2,NUM
hours,NOUN
of,ADP
travel,NOUN
we,PRON
got,VERB
the,DET
motorcycles,NOUN
to,ADP
within,ADP
530,NUM
meters,NOUN
of,ADP
the,DET
confluence,NOUN
point,NOUN
.,PUNCT,Satzende
We,PRON
cross,VERB
a,DET
light,ADJ
hardwood,NOUN
forest,NOUN
and,CCONJ
a,DET
deeply,ADV
cut,VERB
brook,NOUN
bed,NOUN
.,PUNCT,Satzende
In,ADP
our,DET
maps,NOUN
the,DET
confluence,NOUN
point,NOUN
would,VERB
have,AUX
to,PART
lie,VERB
on,ADP
a,DET
clearing,NOUN
.,PUNCT,Satzende
At,ADP
the,DET
top,NOUN
the,DET
forest,NOUN
becomes,VERB
lighter,ADJ
",",PUNCT
we,PRON
goe,VERB
toward,ADP
it,PRON
and,CCONJ
discover,VERB
a,DET
clearing,NOUN
",",PUNCT
grown,VERB
mainly,ADV
with,ADP
large,ADJ
ferns,NOUN
",",PUNCT
the,DET
confluence,NOUN
point,NOUN
is,AUX
however,ADV
still,ADV
approx,ADJ
..,PUNCT
100,NUM
meters,NOUN
further,ADV
southwest,NOUN
.,PUNCT,Satzende
We,PRON
dive,VERB
again,ADV
into,ADP
the,DET
hardwood,NOUN
forest,NOUN
and,CCONJ
cross,VERB
a,DET
further,ADV
",",PUNCT
deeply,ADV
cut,VERB
brook,NOUN
bed,NOUN
.,PUNCT
"

",SPACE,Satzende
The,DET
confluence,NOUN
point,NOUN
is,AUX
now,ADV
a,DET
few,ADJ
steps,NOUN
from,ADP
here,ADV
",",PUNCT
and,CCONJ
we,PRON
move,VERB
in,ADP
a,DET
zigzag,NOUN
through,ADP
the,DET
forest,NOUN
